Species,Plot No.,Individual No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Petal Mass per Area (PMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Lotus,P1,I1,C0T0,C0,T0,D0,459.047384,702.2317392,758.313058,268.2955354,0.002231754,0.00147939,0.001359159,0.004133941,0.002110515,487.143841,0.162949955,213.6711656,0.199754902,,
Lotus,P1,I2,C0T0,C0,T0,D0,546.3371792,621.9740909,515.3210011,255.5134398,0.001865709,0.001673093,0.001940538,0.004330119,0.001963247,512.0265544,0.156143293,317.8304196,0.138498789,,
Lotus,P8,I1,C2T0,C2,T0,D0,539.6876056,896.5617568,891.3494184,436.8825462,0.001866524,0.001116154,0.001124713,0.00231026,0.001580494,635.9801402,0.143772844,140.9323077,0.278058498,,
Lotus,P9,I1,C0T0,C0,T0,D0,623.5010112,882.5818293,879.3553782,418.1252683,0.001655869,0.001167534,0.001196086,0.002398898,0.001553376,662.2513062,0.136206899,330.89375,0.17679558,,
Lotus,P9,I2,C0T0,C0,T0,D0,700.8622751,867.9951771,916.8406017,328.2829601,0.001427111,0.001168963,0.001090751,0.003115197,0.001513814,664.3038527,0.144162112,311.51875,0.188976378,,
Lotus,P10,I1,C0T2,C0,T2,D0,555.9666901,874.2960675,892.3892616,379.6249094,0.001798681,0.001145925,0.001120748,0.002649127,0.001585494,630.7470026,0.152812143,225.5209877,0.184090909,,
Lotus,P10,I2,C0T2,C0,T2,D0,553.9212639,870.9120708,920.7150413,368.728863,0.001805614,0.001148339,0.001089798,0.002720515,0.001578993,633.3371447,0.166418483,188.0046729,0.170653907,,
Lotus,P12,I1,C2T2,C2,T2,D0,671.6654529,861.9770935,954.2049323,399.6517348,0.001525952,0.001188139,0.001064183,0.002524462,0.001509166,671.2071171,0.160473683,261.1463064,0.198486644,,
Lotus,P13,I1,C0T0,C0,T0,D0,617.046977,843.3960244,859.9982968,343.1340482,0.001635595,0.001197777,0.001180985,0.002914314,0.00164148,613.5051704,0.134169923,314.8717949,0.165254237,,
Lotus,P14,I1,C2T0,C2,T0,D0,463.5053501,676.4678805,837.69646,283.786348,0.002171056,0.001481001,0.001216677,0.0035242,0.001998895,500.2806256,0.16009178,229.0738095,0.199052133,,
