Sample Code,Plot No.,Sample No.,Flower/Leaf No. ,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Leaf Area (LA)(cm2),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Number of Seeds (SN),Seed Mass (SM)(g)
8.1-1,P8,S1,F1,C2T0D0,2,0,0,0.075694,2108.467967,0.000474278,0.059833333,0.49611,313.9936709,0.210666667,44,0.00008879
8.1-2,P8,S1,F2,C2T0D0,2,0,0,0.050822,994.5596869,0.00100547,0.098269231,,,,,
8.2-1,P8,S2,F1,C2T0D0,2,0,0,,,,,0.65755,408.4161491,0.151886792,42.7,0.00007836
9.1-1,P9,S1,F1,C0T0D0,0,0,0,0.056956,1452.959184,0.000688251,0.057647059,0.34319,137.276,0.136612022,42,0.00017643
9.1-2,P9,S1,F2,C0T0D0,0,0,0,,,,,1.1073,1190.645161,0.172222222,,
9.2-1,P9,S2,F1,C0T0D0,0,0,0,0.05234,1072.540984,0.000932365,0.106086957,1.68082,381.138322,0.143648208,27.3,0.00013756
10.1-1,P10,S1,F1,C0T2D0,0,2,0,0.091408,1201.156373,0.000832531,0.092804878,0.7293,345.6398104,0.19009009,18,0.00012093
10.1-2,P10,S1,F2,C0T2D0,0,2,0,0.112528,1317.65808,0.000758922,0.158148148,,,,,
10.2-1,P10,S2,F1,C0T2D0,0,2,0,0.043192,1416.131148,0.000706149,0.127083333,0.22057,111.964467,0.142753623,38.3,0.00012983
10.2-2,P10,S2,F2,C0T2D0,0,2,0,,,,,0.99426,2461.039604,0.134666667,,
11.1-1,P11,S1,F1,C0T0D0,0,0,0,0.065298,987.8668684,0.001012282,0.08474359,0.45501,459.6060606,0.16779661,30.7,0.00011152
11.1-2,P11,S1,F2,C0T0D0,0,0,0,0.072728,1364.502814,0.000732868,0.095178571,,,,,
11.2-1,P11,S2,F1,C0T0D0,0,0,0,0.069772,991.0795455,0.001009001,0.095135135,0.75955,527.4652778,0.132110092,35,0.00017714
12.1-1,P12,S1,F1,C2T2D0,2,2,0,0.059602,717.2322503,0.001394249,0.109342105,0.78325,330.4852321,0.158,28,0.00014655
12.2-1,P12,S2,F1,C2T2D0,2,2,0,0.044124,361.0801964,0.002769468,0.15275,0.09744,304.5,0.177777778,22.7,0.00013324
12.3-1,P12,S3,F1,C2T2D0,2,2,0,0.088366,2003.764172,0.000499061,0.0882,1.41175,393.2451253,0.156086957,27.7,0.00008988
12.4-1,P12,S4,F1,C2T2D0,2,2,0,,,,,0.97995,462.240566,0.147222222,25.3,0.00015316
14.1-1,P14,S1,F1,C2T0D0,2,0,0,0.083618,2183.237598,0.000458035,0.044534884,0.34541,170.9950495,0.119526627,34.7,0.00012288
14.1-2,P14,S1,F2,C2T0D0,2,0,0,,,,,1.21511,1995.254516,0.160263158,,
14.2-1,P14,S2,F1,C2T0D0,2,0,0,0.068496,623.2575068,0.001604473,0.098125,1.303243,559.3317597,0.102192982,34.7,0.00011202
16.1-1,P16,S1,F1,C2T2D0,2,2,0,0.049,1262.886598,0.000791837,0.092380952,,,,33,0.00011758
21.1-1,P21,S1,F1,C0T2D0,0,2,0,0.092988,2108.571429,0.000474255,0.1225,1.03269,2262.190581,0.175576923,26.7,0.00009713
21.1-2,P21,S1,F2,C0T2D0,0,2,0,0.092988,1929.211618,0.000518346,0.080333333,0.18256,76.70588235,0.166433566,,
21.2-1,P21,S2,F1,C0T2D0,0,2,0,0.025402,762.8228228,0.00131092,0.111,,,,,
22.1-1,P22,S1,F1,C0T0D0,0,0,0,0.092876,1515.106036,0.00066002,0.105689655,,,,31.3,0.00012585
22.2-1,P22,S2,F1,C0T0D0,0,0,0,0.101052,1779.084507,0.000562087,0.08875,1.11998,713.3630573,0.138938053,46.3,0.00012475
22.2-2,P22,S2,F2,C0T0D0,0,0,0,0.101566,2064.349593,0.000484414,0.1025,0.62104,203.6196721,0.156410256,32.3,0.00015268
24.1-1,P24,S1,F1,C2T0D0,2,0,0,,,,,,,,36,0.00011731
24.2-1,P24,S2,F1,C2T0D0,2,0,0,0.073602,2638.064516,0.000379066,0.0871875,,,,40,0.00011217
24.2-2,P24,S2,F2,C2T0D0,2,0,0,0.062588,1819.418605,0.000549626,0.086,,,,,
27.1-1,P27,S1,F1,C2T2D1,2,2,1,0.034792,707.1544715,0.001414118,0.123,,,,14,0.00010286
27.2-1,P27,S2,F1,C2T2D1,2,2,1,,,,,,,,19.3,0.00009724
28.1-1,P28,S1,F1,C0T0D1,0,0,1,0.081844,1315.819936,0.000759982,0.088857143,1.1269,278.2469136,0.162,32.3,0.00010485
28.1-2,P28,S1,F2,C0T0D1,0,0,1,,,,,,,,,
