Sample Code,Plot No.,Sample No.,Flower No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g)
1.1-1,P1,I1,F1,C0T0,C0,T0,D0,462.1665983,595.4794521,638.5132383,366.3438735,0.002163722,0.001679319,0.001566138,0.002729676,480.0278422,0.002083212,0.171941489,213.6711656,0.199754902
1.1-2,P1,I1,F2,C0T0,C0,T0,D0,354.5292929,599.255814,758.1242938,650.0066534,0.002820641,0.001668736,0.001319045,0.001538446,531.3157435,0.00188212,0.160758427,,
1.1-3,P1,I1,F3,C0T0,C0,T0,D0,474.2326333,654.805726,650.4311251,373.4020619,0.00210867,0.001527171,0.001537442,0.002678078,497.6453901,0.002009463,0.180255682,,
1.1-4,P1,I1,F4,C0T0,C0,T0,D0,545.2610114,959.3859649,986.1835749,756.6116942,0.001833984,0.001042333,0.00101401,0.001321682,730.6948969,0.00136856,0.138844221,,
1.2-1,P1,I2,F1,C0T0,C0,T0,D0,471.1473963,499.0890269,,352.550213,0.002122478,0.002003651,,0.002836475,534.4861538,0.001870956,0.1625,317.8304196,0.138498789
1.2-2,P1,I2,F2,C0T0,C0,T0,D0,621.5269621,744.8591549,515.3210011,669.5035461,0.001608941,0.001342536,0.001940538,0.001493644,635.4406676,0.001573711,0.149786585,,
8.1-1,P8,I1,F1,C2T0,C2,T0,D0,585.7560137,920.2924634,935.971564,957.693837,0.001707195,0.001086611,0.001068409,0.001044175,776.6291691,0.001287616,0.139203297,183.83,0.239043825
8.1-2,P8,I1,F2,C2T0,C2,T0,D0,493.6191975,872.8310502,846.7272727,789.836348,0.002025853,0.001145697,0.001181018,0.001266085,674.3909141,0.00148282,0.148342391,98.03461538,0.317073171
9.1-1,P9,I1,F1,C0T0,C0,T0,D0,512.987013,730.8779443,684.2348008,790.2124312,0.001949367,0.001368218,0.001461487,0.001265482,640.8963187,0.001560315,0.141994949,330.89375,0.17679558
9.1-2,P9,I1,F2,C0T0,C0,T0,D0,734.0150094,1034.285714,1074.475956,882.2886422,0.00136237,0.000966851,0.000930686,0.001133416,876.6037736,0.001140766,0.130418848,,
9.2-1,P9,I2,F1,C0T0,C0,T0,D0,710.9731051,972.3096447,922.9766298,754.3119266,0.001406523,0.001028479,0.001083451,0.001325712,800.8234797,0.001248715,0.128695652,311.51875,0.188976378
9.2-2,P9,I2,F2,C0T0,C0,T0,D0,690.7514451,763.6807095,910.7045735,558.819914,0.001447699,0.001309448,0.001098051,0.001789485,695.9548953,0.001436875,0.159628571,,
10.1-1,P10,I1,F1,C0T2,C0,T2,D0,557.4251835,912.1419185,881.6971279,702.2180095,0.001793963,0.001096321,0.001134176,0.001424059,711.5920055,0.0014053,0.155464286,225.5209877,0.184090909
10.1-2,P10,I1,F2,C0T2,C0,T2,D0,554.5081967,836.4502165,903.0813953,816.2816282,0.0018034,0.001195528,0.00110732,0.001225067,733.8252531,0.001362722,0.15016,,
10.2-1,P10,I2,F1,C0T2,C0,T2,D0,546.7436267,862.0892019,974.2576687,778.6666667,0.001829011,0.001159973,0.001026423,0.001284247,726.99651,0.001375522,0.166815068,188.0046729,0.170653907
10.2-2,P10,I2,F2,C0T2,C0,T2,D0,561.0989011,879.7349398,867.1724138,696.2487852,0.001782217,0.001136706,0.001153173,0.001436268,708.3446911,0.001411742,0.166021898,,
