Plot No.,Individual No.,Treatment ,CO2,Temperature,Drought,Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Display Area (DA)(cm2),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
8,1,C2T0D0,2,0,0,1551.513827,0.000739874,0.079051282,313.9936709,0.210666667,0.063258,44,8.87879E-05
8,2,C2T0D0,2,0,0,1646.687623,0.000816682,0.077076229,408.4161491,0.151886792,0.07086675,42.66666667,7.83594E-05
9,1,C0T0D0,0,0,0,1452.959184,0.000688251,0.057647059,663.9605805,0.154417122,0.056956,42,0.000176429
9,2,C0T0D0,0,0,0,1072.540984,0.000932365,0.106086957,381.138322,0.143648208,0.05234,27.33333333,0.000137561
10,1,C0T2D0,0,2,0,1259.407227,0.000795727,0.125476513,345.6398104,0.19009009,0.101968,18,0.000120926
10,2,C0T2D0,0,2,0,1416.131148,0.000706149,0.127083333,1286.502036,0.138710145,0.043192,38.33333333,0.000129826
11,1,C0T0D0,0,0,0,1176.184841,0.000872575,0.089961081,459.6060606,0.16779661,0.069013,30.66666667,0.000111522
11,2,C0T0D0,0,0,0,991.0795455,0.001009001,0.095135135,527.4652778,0.132110092,0.069772,35,0.000177143
12,1,C2T2D0,2,2,0,717.2322503,0.001394249,0.109342105,330.4852321,0.158,0.059602,28,0.000146548
12,2,C2T2D0,2,2,0,361.0801964,0.002769468,0.15275,304.5,0.177777778,0.044124,22.66666667,0.000133235
12,3,C2T2D0,2,2,0,2003.764172,0.000499061,0.0882,393.2451253,0.156086957,0.088366,27.66666667,8.98795E-05
12,4,C2T2D0,2,2,0,1276.073994,0.001028945,0.10486695,462.240566,0.147222222,0.067182748,25.33333333,0.000153158
14,1,C2T0D0,2,0,0,2183.237598,0.000458035,0.044534884,1083.124783,0.139894893,0.083618,34.66666667,0.000122885
14,2,C2T0D0,2,0,0,623.2575068,0.001604473,0.098125,559.3317597,0.102192982,0.068496,34.66666667,0.000112019
16,1,C2T2D0,2,2,0,1262.886598,0.000791837,0.092380952,806.1397829,0.147901257,0.049,33,0.000117576
21,1,C0T2D0,0,2,0,2018.891524,0.000496301,0.101416667,1169.448232,0.171005245,0.092988,26.66666667,0.000097125
21,2,C0T2D0,0,2,0,762.8228228,0.00131092,0.111,1169.448232,0.171005245,0.025402,26.66666667,0.000097125
22,1,C0T0D0,0,0,0,1515.106036,0.00066002,0.105689655,458.4913647,0.147674155,0.092876,31.33333333,0.000125851
