"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",-0.0794872628301658,0.571166705670825,0.389714513498026,-0.298241509341357,-0.292079475402924,0.441385920087624
"Specific Petal Area (SPA)(cm2/g)",0.25997374871957,0.488227909340417,0.381466229284867,0.172014011852862,0.37983897411518,-0.277252097941572
"Petal Dry Matter Content (PDMC)(g/g)",-0.488036588417106,0.0696034092336549,0.239879136530051,-0.244678337718308,-0.075160085876468,-0.75476299883773
"Leaf Area (LA)(cm2)",0.0751463006794224,-0.562069774310763,0.447199609927455,0.0625908410551801,0.101347770299947,0.0157573617985126
"Specific Leaf Area (SLA)(cm2/g)",0.215486243598819,0.2619004810794,-0.636313388684815,-0.115202918263991,-0.0223183770861065,-0.260438286840669
"Leaf Dry Matter Content (LDMC)(g/g)",0.499693241540721,-0.0956981873430286,0.147097540279896,0.00354961630329685,-0.781201605808911,-0.264752299372739
"Number of Seeds (SN)",0.499598843971771,0.0953934291651984,0.131370539392655,0.28877706340032,0.242922566682775,-0.142914220548003
"Seed Mass (SM)(g)",0.369516014761362,-0.166688709051526,0.0358606891490685,-0.849118116048015,0.291043110998739,-0.00692164427918482
"Eigenvalues",3.59083347123764,2.01738247745273,1.69589665019884,0.616883332245347,0.0790040688654354,1.43833579564975e-30
"Variance_Percent",44.8854183904706,25.2172809681592,21.1987081274855,7.71104165306684,0.987550860817943,1.79791974456218e-29
"Cumulative_Variance_Percent",44.8854183904706,70.1026993586297,91.3014074861152,99.012449139182,100,100
