"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",-0.280716271925869,0.227346029012153,0.638080016916655,-0.310536128255814,0.176111667140446,0.154243427140961
"Specific Petal Area (SPA)(cm2/g)",-0.437350219356264,-0.0783026360074955,0.0614400797591631,-0.336180235013582,-0.695302485321073,-0.412526868137349
"Petal Dry Matter Content (PDMC)(g/g)",0.39291978544722,0.401901033239804,-0.0300830776797683,-0.185286797212444,-0.334160487138481,0.430744710715302
"Leaf Area (LA)(cm2)",-0.449258721406168,0.106701304327748,0.0589996367738957,0.0964852492563425,0.489846429641297,-0.127546354599823
"Specific Leaf Area (SLA)(cm2/g)",-0.44109365819093,0.196365275280476,-0.077541869555195,-0.106616438152687,-0.0884153200021341,0.626176389319613
"Leaf Dry Matter Content (LDMC)(g/g)",0.316577572346832,-0.405005363120367,0.191959543879056,-0.70590603049592,0.248301718265619,0.0117326802126546
"Number of Seeds (SN)",-0.152534029738192,-0.747821283316951,0.138897762638016,0.257036246497445,-0.163460659606501,0.450459450638414
"Seed Mass (SM)(g)",0.235907182833064,0.0862990970298544,0.722868773307074,0.413728825803121,-0.194257508124312,-0.095253487452722
"Eigenvalues",4.7777411690761,1.49069006635383,1.23023218779844,0.458971986737822,0.0423645900337967,3.23968806391965e-31
"Variance_Percent",59.7217646134513,18.6336258294229,15.3779023474805,5.73714983422277,0.529557375422458,4.04961007989957e-30
"Cumulative_Variance_Percent",59.7217646134513,78.3553904428742,93.7332927903548,99.4704426245775,100,100
