"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",0.445260927340791,0.261592104205071,-0.133795736097832,0.317408075299269,-0.175555113758865,0.214113311876676
"Specific Petal Area (SPA)(cm2/g)",0.441870085451469,-0.0907283215908031,-0.408398846750522,0.245376018625987,-0.231745795357532,-0.0280400964084629
"Petal Dry Matter Content (PDMC)(g/g)",-0.494292452082983,0.0216357656786688,-0.154482052499637,-0.102011213995623,0.215106742258652,-0.0269646268531641
"Leaf Area (LA)(cm2)",-0.148469316067402,0.54888176589569,0.457295529515381,0.233304733011211,-0.421400419527507,-0.446093203393005
"Specific Leaf Area (SLA)(cm2/g)",0.198626189612943,-0.394869419373534,0.480882914637491,0.523355086141041,0.485011770653023,-0.202590441118264
"Leaf Dry Matter Content (LDMC)(g/g)",-0.418291446351532,-0.209248223303136,0.156590418420429,0.449790445882874,-0.359686708750565,0.642392026090445
"Number of Seeds (SN)",0.351971413130409,-0.0593797523659906,0.571352374512549,-0.530724656808565,-0.131298462530696,0.366741510604767
"Seed Mass (SM)(g)",0.042677807054362,0.646812191510525,0.0106162386543872,0.127768087760594,0.55657419257221,0.406734886428613
"Eigenvalues",3.85335414053675,1.90087633102282,0.944647459617356,0.700091196996619,0.601030871826453,9.80267184729098e-31
"Variance_Percent",48.1669267567094,23.7609541377853,11.808093245217,8.75113996245774,7.51288589783066,1.22533398091137e-29
"Cumulative_Variance_Percent",48.1669267567094,71.9278808944946,83.7359741397116,92.4871141021693,100,100
