"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"DA",0.292325938285126,-0.493796934228049,0.040958949228524,-0.331838551931737,-0.361228865610629,0.487559294203438,0.366989555826717,0.236714977731143
"SPA",0.440958821602471,-0.48571761567205,-0.183637102121849,-0.0639483808577115,0.0728058429714147,-0.355531430794152,-0.094718343645154,-0.625417365533279
"PDMC",-0.564919342550304,0.0915640470091773,0.0780779106627014,-0.170449949770428,-0.363541596216353,0.0528244026631824,0.37163529237557,-0.603545454760706
"LA",0.0820999575954648,0.0781611364563611,0.659338556200481,-0.57719568418473,0.0916644623804034,-0.441600911987227,0.0454375149221382,0.117430563666021
"SLA",0.291680199286003,0.37521065779156,-0.388082814226844,-0.0102297139459004,-0.525675139844802,-0.473131905033722,0.293527461981289,0.192562152900282
"LDMC",-0.376986478184563,-0.421591022374515,-0.213867891331098,0.0892269495163029,0.374276617765051,-0.372381965990316,0.511669081889378,0.293060944335537
"SN",0.408570931172553,0.338172594764519,0.211039315683589,0.2599818152121,0.389096667872958,0.195559199117327,0.606755764082049,-0.220881820867649
"SM",0.0100123745088489,-0.26993909664785,0.531874937341066,0.669275053330784,-0.394758905953392,-0.193173561476648,0.00731884173652399,0.0548489411720449
"Eigenvalues",2.23573628988452,1.489180140961,1.22021574873884,0.897661573862727,0.752784759929359,0.699291575209074,0.520882507534857,0.184247403879628
"Variance_Percent",27.9467036235565,18.6147517620125,15.2526968592355,11.2207696732841,9.409809499117,8.74114469011343,6.51103134418572,2.30309254849535
"Cumulative_Variance_Percent",27.9467036235565,46.561455385569,61.8141522448044,73.0349219180885,82.4447314172055,91.185876107319,97.6969074515047,100
