"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",0.257217503895941,-0.494661410994657,0.358517752501584,0.15541897568522,0.511900801182213,0.0124152821734979
"Specific Petal Area (SPA)(cm2/g)",0.127647220219992,0.0280174259567852,0.842578143414703,0.136559706978272,-0.198406060384985,-0.0674028917231355
"Petal Dry Matter Content (PDMC)(g/g)",0.412867217116252,0.329486690607958,-0.176175774845314,0.0700498646740064,0.56683991868364,-0.459970816991216
"Leaf Area (LA)(cm2)",0.515639233683597,0.105909749265477,-0.086675401934401,-0.0580021943205168,0.0920659075627689,0.538805703545107
"Specific Leaf Area (SLA)(cm2/g)",0.000683178425142508,0.617043548378085,0.109815299102968,0.564770258455665,-0.12850604505905,-0.102023343288977
"Leaf Dry Matter Content (LDMC)(g/g)",0.495893340332773,-0.0225012836856825,-0.141857044498281,0.233238120843613,-0.318161341904231,0.367144115064381
"Number of Seeds (SN)",-0.411757589977014,0.357428397977236,0.179856520738259,-0.052446548839439,0.488149981232614,0.582102674306909
"Seed Mass (SM)(g)",0.2564121681077,0.354602100945801,0.241754783603708,-0.756841491994339,-0.113040403955691,-0.0968033318749083
"Eigenvalues",3.62100363852149,1.92501508160631,1.28068917671903,0.767867989861457,0.405424113291711,6.43186101731001e-31
"Variance_Percent",45.2625454815187,24.0626885200788,16.0086147089879,9.59834987326821,5.06780141614639,8.03982627163752e-30
"Cumulative_Variance_Percent",45.2625454815187,69.3252340015975,85.3338487105854,94.9321985838536,100,100
