Species ,Sample Code,Plot No.,Sample No.,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Standard Petal Area (SSA)(cm2/g),Specific Wing 1 Petal Area (SW1A)(cm2/g),Specific Wing 2 Petal Area (SW2A)(cm2/g),Specific Keel Petal Area (SKA)(cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Average Ray Floret Area (ARA)(cm2),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Crepis,8.1-2,8,1,C2T0D0,2,0,0,,,,,,,,,,1551.513827,0.000739874,0.079051282,313.9936709,0.210666667,0.063258,44,8.87879E-05
Crepis,8.2-1,8,2,C2T0D0,2,0,0,,,,,,,,,,1646.687623,0.000816682,0.077076229,408.4161491,0.151886792,0.07086675,42.66666667,7.83594E-05
Crepis,9.1-2,9,1,C0T0D0,0,0,0,,,,,,,,,,1452.959184,0.000688251,0.057647059,663.9605805,0.154417122,0.056956,42,0.000176429
Crepis,9.2-1,9,2,C0T0D0,0,0,0,,,,,,,,,,1072.540984,0.000932365,0.106086957,381.138322,0.143648208,0.05234,27.33333333,0.000137561
Crepis,10.1-2,10,1,C0T2D0,0,2,0,,,,,,,,,,1259.407227,0.000795727,0.125476513,345.6398104,0.19009009,0.101968,18,0.000120926
Crepis,10.2-2,10,2,C0T2D0,0,2,0,,,,,,,,,,1416.131148,0.000706149,0.127083333,1286.502036,0.138710145,0.043192,38.33333333,0.000129826
Crepis,11.1-2,11,1,C0T0D0,0,0,0,,,,,,,,,,1176.184841,0.000872575,0.089961081,459.6060606,0.16779661,0.069013,30.66666667,0.000111522
Crepis,11.2-1,11,2,C0T0D0,0,0,0,,,,,,,,,,991.0795455,0.001009001,0.095135135,527.4652778,0.132110092,0.069772,35,0.000177143
Crepis,12.1-1,12,1,C2T2D0,2,2,0,,,,,,,,,,717.2322503,0.001394249,0.109342105,330.4852321,0.158,0.059602,28,0.000146548
Crepis,12.2-1,12,2,C2T2D0,2,2,0,,,,,,,,,,361.0801964,0.002769468,0.15275,304.5,0.177777778,0.044124,22.66666667,0.000133235
Crepis,12.3-1,12,3,C2T2D0,2,2,0,,,,,,,,,,2003.764172,0.000499061,0.0882,393.2451253,0.156086957,0.088366,27.66666667,8.98795E-05
Crepis,12.4-1,12,4,C2T2D0,2,2,0,,,,,,,,,,1276.073994,0.001028945,0.10486695,462.240566,0.147222222,0.067182748,25.33333333,0.000153158
Crepis,14.1-2,14,1,C2T0D0,2,0,0,,,,,,,,,,2183.237598,0.000458035,0.044534884,1083.124783,0.139894893,0.083618,34.66666667,0.000122885
Crepis,14.2-1,14,2,C2T0D0,2,0,0,,,,,,,,,,623.2575068,0.001604473,0.098125,559.3317597,0.102192982,0.068496,34.66666667,0.000112019
Crepis,16.1-1,16,1,C2T2D0,2,2,0,,,,,,,,,,1262.886598,0.000791837,0.092380952,806.1397829,0.147901257,0.049,33,0.000117576
Crepis,21.1-2,21,1,C0T2D0,0,2,0,,,,,,,,,,2018.891524,0.000496301,0.101416667,1169.448232,0.171005245,0.092988,26.66666667,0.000097125
Crepis,21.2-1,21,2,C0T2D0,0,2,0,,,,,,,,,,762.8228228,0.00131092,0.111,1169.448232,0.171005245,0.025402,26.66666667,0.000097125
Crepis,22.1-1,22,1,C0T0D0,0,0,0,,,,,,,,,,1515.106036,0.00066002,0.105689655,458.4913647,0.147674155,0.092876,31.33333333,0.000125851
Crepis,22.2-2,22,2,C0T0D0,0,0,0,,,,,,,,,,1921.71705,0.000523251,0.095625,458.4913647,0.147674155,0.101309,39.33333333,0.000138714
Crepis,24.1-1,24,1,C2T0D0,2,0,0,,,,,,,,,,1646.687623,0.000816682,0.077076229,843.4244514,0.1593397,0.07086675,36,0.000117315
Crepis,24.2-2,24,2,C2T0D0,2,0,0,,,,,,,,,,2228.741561,0.000464346,0.08659375,783.4993686,0.151160334,0.068095,40,0.000112167
Crepis,27.1-1,27,1,C2T2D1,2,2,1,,,,,,,,,,707.1544715,0.001414118,0.123,455.8195869,0.166299777,0.034792,14,0.000102857
Crepis,27.2-1,27,2,C2T2D1,2,2,1,,,,,,,,,,1239.653108,0.001066317,0.115300619,494.2442405,0.179153552,0.056844222,19.33333333,9.72414E-05
Crepis,28.1-2,28,1,C0T0D1,0,0,1,,,,,,,,,,1315.819936,0.000759982,0.088857143,278.2469136,0.162,0.081844,32.33333333,0.000104845
Crepis,28.2-2,28,2,C0T0D1,0,0,1,,,,,,,,,,1003.557772,0.001027434,0.094972463,1080.518737,0.170307206,0.064226,36,0.000101389
Crepis,35.1-1,35,1,C2T2D0,2,2,0,,,,,,,,,,674.1634241,0.00148332,0.116818182,297.532548,0.201625,0.051978,30,0.000130444
Crepis,35.2-2,35,2,C2T2D0,2,2,0,,,,,,,,,,1037.905366,0.000985809,0.118848432,320.6787633,0.182682003,0.092611,28.33333333,0.000189529
Crepis,42.1-1,42,1,C0T2D0,0,2,0,,,,,,,,,,1351.627907,0.000739849,0.083367347,343.1446541,0.154368932,0.110428,35,0.00015381
Crepis,42.2-1,42,2,C0T2D0,0,2,0,,,,,,,,,,2172.769231,0.000460242,0.056521739,410.4136253,0.140273038,0.056492,29.33333333,0.000228182
Crepis,42.3-1,42,3,C0T2D0,0,2,0,,,,,,,,,,631.6475973,0.001583161,0.106585366,563.5,0.110843373,0.055206,46.66666667,0.000214429
Crepis,42.4-2,42,4,C0T2D0,0,2,0,,,,,,,,,,1719.853748,0.000581445,0.088225806,371.0800922,0.165215054,0.094076,26,0.000114103
Crepis,44.1-1,44,1,C0T0D1,0,0,1,,,,,,,,,,359.7826087,0.002779456,0.184,306.2249561,0.201060071,0.0331,19.33333333,0.000103793
Crepis,44.2-1,44,2,C0T0D1,0,0,1,,,,,,,,,,726,0.00137741,0.114444444,390.9208633,0.159312321,0.074778,34,0.000151863
Crepis,45.1-2,45,1,C2T2D1,2,2,1,,,,,,,,,,521.6052818,0.002024819,0.133214706,350.1879699,0.204615385,0.039727,28.33333333,0.000185059
Crepis,45.2-1,45,2,C2T2D1,2,2,1,,,,,,,,,,1668.975265,0.00059917,0.07075,335.6197816,0.194625,0.047232,19,0.000124912
Crepis,47.1-2,47,1,C0T0D1,0,0,1,,,,,,,,,,2254.962121,0.000443466,0.1056,339.8891313,0.205496942,0.043524,21,0.000180476
Crepis,47.2-2,47,2,C0T0D1,0,0,1,,,,,,,,,,2254.962121,0.000443466,0.1056,339.8891313,0.205496942,0.119062,21,0.000180476
Crepis,49.1-1,49,1,C0T0D1,0,0,1,,,,,,,,,,619.012016,0.001615478,0.124833333,373.2133333,0.163934426,0.046364,43,0.000100465
Crepis,49.2-2,49,2,C0T0D1,0,0,1,,,,,,,,,,786.3971632,0.001315893,0.156666667,316.2315789,0.162393162,0.051067,22.66666667,0.000124118
Crepis,50.1-1,50,1,C2T2D1,2,2,1,,,,,,,,,,1008.548387,0.000991524,0.095384615,521.9736842,0.131034483,0.025012,29,9.98276E-05
Crepis,50.2-1,50,2,C2T2D1,2,2,1,,,,,,,,,,1335.261146,0.000748917,0.12265625,615.4969118,0.134924242,0.104818,19.66666667,0.000127458
Crepis,51.1-1,51,1,C0T2D0,0,2,0,,,,,,,,,,902.0838323,0.001108544,0.080288462,575.0617284,0.120895522,0.075324,34,7.02941E-05
Crepis,51.2-1,51,2,C0T2D0,0,2,0,,,,,,,,,,1446.566265,0.000691292,0.057241379,575.0617284,0.120895522,0.048026,32.66666667,0.000111122
Crepis,53.1-1,53,1,C0T0D0,0,0,0,,,,,,,,,,1293.98977,0.000962413,0.10125859,567.5744681,0.138235294,0.069785375,27.66666667,7.6988E-05
Crepis,53.2-1,53,2,C0T0D0,0,0,0,,,,,,,,,,1277.443182,0.000782814,0.117333333,567.5744681,0.138235294,0.089932,23,0.000145072
Lotus,1.1-4,1,1,C0T0D0,0,0,0,1.667435,459.047384,702.2317392,758.313058,268.2955354,0.002231754,0.00147939,0.001359159,0.004133941,487.143841,0.002110515,0.162949955,213.6711656,0.199754902,,,
Lotus,1.2-2,1,2,C0T0D0,0,0,0,1.431885,546.3371792,621.9740909,515.3210011,255.5134398,0.001865709,0.001673093,0.001940538,0.004330119,512.0265544,0.001963247,0.156143293,317.8304196,0.138498789,,,
Lotus,8.1-2,8,1,C2T0D0,2,0,0,1.90417,539.6876056,896.5617568,891.3494184,436.8825462,0.001866524,0.001116154,0.001124713,0.00231026,635.9801402,0.001580494,0.143772844,140.9323077,0.278058498,,,
Lotus,9.1-2,9,1,C0T0D0,0,0,0,1.99275,623.5010112,882.5818293,879.3553782,418.1252683,0.001655869,0.001167534,0.001196086,0.002398898,662.2513062,0.001553376,0.136206899,330.89375,0.17679558,,,
Lotus,9.2-2,9,2,C0T0D0,0,0,0,1.92025,700.8622751,867.9951771,916.8406017,328.2829601,0.001427111,0.001168963,0.001090751,0.003115197,664.3038527,0.001513814,0.144162112,311.51875,0.188976378,,,
Lotus,10.1-2,10,1,C0T2D0,0,2,0,1.463085,555.9666901,874.2960675,892.3892616,379.6249094,0.001798681,0.001145925,0.001120748,0.002649127,630.7470026,0.001585494,0.152812143,225.5209877,0.184090909,,,
Lotus,10.2-2,10,2,C0T2D0,0,2,0,1.690865,553.9212639,870.9120708,920.7150413,368.728863,0.001805614,0.001148339,0.001089798,0.002720515,633.3371447,0.001578993,0.166418483,188.0046729,0.170653907,,,
Lotus,11.1-1,11,1,C0T0D0,0,0,0,1.650328625,585.4169444,831.5582408,807.3752644,685.6943923,0.001769686,0.00125372,0.001333674,0.00158985,682.5611792,0.001510443,0.156928584,290.4138462,0.185714286,,,
Lotus,11.2-1,11,2,C0T0D0,0,0,0,1.650328625,585.4169444,831.5582408,807.3752644,685.6943923,0.001769686,0.00125372,0.001333674,0.00158985,682.5611792,0.001510443,0.156928584,292.3265306,0.161184211,,,
Lotus,12.1-4,12,1,C2T2D0,2,2,0,1.3119875,671.6654529,861.9770935,954.2049323,399.6517348,0.001525952,0.001188139,0.001064183,0.002524462,671.2071171,0.001509166,0.160473683,261.1463064,0.198486644,,,
Lotus,13.1-2,13,1,C0T0D0,0,0,0,1.92832,617.046977,843.3960244,859.9982968,343.1340482,0.001635595,0.001197777,0.001180985,0.002914314,613.5051704,0.00164148,0.134169923,314.8717949,0.165254237,,,
Lotus,14.1-2,14,1,C2T0D0,2,0,0,1.52633,463.5053501,676.4678805,837.69646,283.786348,0.002171056,0.001481001,0.001216677,0.0035242,500.2806256,0.001998895,0.16009178,229.0738095,0.199052133,,,
Lotus,14.2-2,14,2,C2T0D0,2,0,0,1.73069,456.3848697,720.0662561,754.0836078,299.721233,0.002265395,0.001447093,0.001521069,0.00335812,512.9245212,0.002038276,0.168176481,222.7442857,0.193370166,,,
Lotus,15.1-3,15,1,C0T2D0,0,2,0,1.698026667,621.4529567,922.2219692,871.9859728,360.3515241,0.0016147,0.001153935,0.001224267,0.002817479,636.0526261,0.00158192,0.151127882,178.8342857,0.198863636,,,
Lotus,16.1-2,16,1,C2T2D0,2,2,0,1.4831,660.523019,1083.050575,950.5674969,438.3927812,0.001543304,0.000932472,0.001058051,0.002465352,711.8891197,0.001442526,0.152972736,183.3,0.224390244,,,
Lotus,16.2-2,16,2,C2T2D0,2,2,0,1.562445,531.8575377,755.6966481,827.5462829,382.7133862,0.001893544,0.001337097,0.001208496,0.005776079,578.1725373,0.001749262,0.159420948,185.4658333,0.198347107,,,
Lotus,19.1-3,19,1,C0T0D0,0,0,0,1.935043333,578.6680496,914.5825233,862.6896638,387.5588982,0.001736895,0.00110084,0.001166392,0.002583169,637.9166469,0.001573268,0.155825794,276.9356873,0.152793834,,,
Lotus,21.1-2,21,1,C0T2D0,0,2,0,1.531285,562.4017631,932.7026246,897.0485271,321.3171401,0.001778137,0.001073613,0.001137656,0.00311376,596.932163,0.001677321,0.169442694,247.9715014,0.203677785,,,
Lotus,22.1-2,22,1,C0T0D0,0,0,0,1.951025,567.0464598,827.6638492,812.1239626,338.5776307,0.001805037,0.001215434,0.001248923,0.003015156,598.8726241,0.001700179,0.174629371,271.7092676,0.189168618,,,
Lotus,27.1-2,27,1,C2T2D1,2,2,1,1.61311,459.870934,707.076117,665.5491012,296.5121751,0.002175456,0.001414277,0.001639444,0.003423849,495.0097896,0.002038026,0.173528623,194.919403,0.208074534,,,
Lotus,27.2-2,27,2,C2T2D1,2,2,1,1.24223,406.4542911,647.9403104,664.9903101,227.0944059,0.002472402,0.001545663,0.00151149,0.004443788,432.1895657,0.002315077,0.190600775,238.8792453,0.20703125,,,
Lotus,28.1-2,28,1,C0T0D1,0,0,1,1.64427,689.4268835,852.8853845,808.4661135,320.3556661,0.001481901,0.001176067,0.001237204,0.003144563,635.2532815,0.001575203,0.13891659,238.8929211,0.213601585,,,
Lotus,29.1-4,29,1,C2T2D0,2,2,0,1.1740725,659.5083536,738.8607909,578.0295619,347.4194879,0.001564834,0.001380054,0.002167947,0.002937554,571.9277379,0.001825438,0.148161608,237.4366667,0.211401099,,,
