Df,Sum Sq,Mean Sq,F value,Pr(>F),model
1,0.00108390367465181,0.00108390367465181,1.9097399952359224,0.17396837574689464,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
1,3.0343594465537344e-6,3.0343594465537344e-6,0.00534626621398538,0.9420434707354568,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
1,0.00286559573200113,0.00286559573200113,5.048919851053996,0.02970740534364907,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
1,9.013278828873208e-6,9.013278828873208e-6,0.01588058004623126,0.9002916172642359,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
1,4.142600914845143e-5,4.142600914845143e-5,0.07298887194862635,0.7882968550415228,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
44,0.02497290825120317,5.67566096618254e-4,NA,NA,`Average Ray Floret Area (ARA)(cm2)` ~ CO2 * Temperature * Drought
1,15.04490864032488,15.04490864032488,0.26773933246676684,0.6074440399365016,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,19.396978028273494,19.396978028273494,0.34518879930203045,0.5598525991661234,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,453.1882911414425,453.1882911414425,8.06494299518355,0.00680849140926021,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,171.2165017412537,171.2165017412537,3.0469704389317176,0.087868199865237,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,68.63110878223011,68.63110878223011,1.2213598427947354,0.2751005889678453,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
44,2472.4644454563377,56.19237376037131,NA,NA,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,3.071267271421556e-4,3.071267271421556e-4,0.17387218684706118,0.6787206055611381,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,3.308402299049649e-4,3.308402299049649e-4,0.18729699888325063,0.6672898982785331,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.0172487026607452,0.0172487026607452,9.764925637716814,0.00314560904828753,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00563890191176969,0.00563890191176969,3.192324601439403,0.08087564435596428,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00466961001621341,0.00466961001621341,2.6435840110592745,0.11111087895887987,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
44,0.0777213206971478,0.0017663936522079,NA,NA,`sqrt_Petal Dry Matter Content (PDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00292534812206763,0.00292534812206763,0.00437060603321167,0.947619133603188,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,4.404310566466928e-4,4.404310566466928e-4,6.5802446514751e-4,0.9796624700160858,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,0.14547308856127336,0.14547308856127336,0.2173435543413036,0.6436004577238683,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,0.1678523730960154,0.1678523730960154,0.250779245385613,0.6192714783407831,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,0.3986365931403537,0.3986365931403537,0.595581594510103,0.4448044127801152,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
40,26.77292896992582,0.6693232242481455,NA,NA,`log_Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
